"???","????","??","???","?(%)"
"0","??","254842","35934","14.10"
"1","???","13752","2429","17.66"
"2","???","4555","202","4.43"
"3","???","5637","201","3.57"
"4","???","5501","448","8.14"
"5","???","3642","120","3.29"
"6","???","3539","91","2.57"
"7","???","6239","292","4.68"
"8","???","6815","299","4.39"
"9","???","4201","46","1.09"
"10","???","4952","200","4.04"
"11","???","9097","762","8.38"
"12","???","10048","1382","13.75"
"13","???","9446","5873","62.17"
"14","????","8466","5537","65.40"
"15","???","6495","705","10.85"
"16","???","2979","455","15.27"
"17","???","3437","257","7.48"
"18","???","3357","157","4.68"
"19","???","2159","251","11.63"
"20","???","8821","367","4.16"
"21","???","5851","313","5.35"
"22","???","8306","1712","20.61"
"23","???","8064","855","10.60"
"24","???","4864","94","1.93"
"25","???","4508","212","4.70"
"26","???","4120","702","17.04"
"27","???","5844","1921","32.87"
"28","???","8863","2131","24.04"
"29","???","2297","449","19.55"
"30","????","2587","171","6.61"
"31","???","2963","313","10.56"
"32","???","4769","37","0.78"
"33","???","5349","244","4.56"
"34","???","7640","942","12.33"
"35","???","3913","304","7.77"
"36","???","2031","222","10.93"
"37","???","1762","368","20.89"
"38","???","3169","3163","99.81"
"39","???","3858","167","4.33"
"40","???","7733","555","7.18"
"41","???","2855","70","2.45"
"42","???","4851","96","1.98"
"43","???","6010","60","1.00"
"44","???","5965","128","2.15"
"45","???","4099","62","1.51"
"46","????","7432","211","2.84"
"47","???","2001","358","17.89"
