"???","????","??","???","?(%)"
"0","??","26506","7706","29.07"
"1","???","1643","606","36.88"
"2","???","412","97","23.54"
"3","???","367","51","13.90"
"4","???","359","232","64.62"
"5","???","352","74","21.02"
"6","???","393","244","62.09"
"7","???","623","148","23.76"
"8","???","951","178","18.72"
"9","???","560","131","23.39"
"10","???","570","147","25.79"
"11","???","962","333","34.62"
"12","???","987","283","28.67"
"13","???","974","644","66.12"
"14","????","833","522","62.67"
"15","???","830","103","12.41"
"16","???","357","42","11.76"
"17","???","309","60","19.42"
"18","???","249","47","18.88"
"19","???","324","180","55.56"
"20","???","786","149","18.96"
"21","???","639","74","11.58"
"22","???","939","578","61.55"
"23","???","1334","518","38.83"
"24","???","505","114","22.57"
"25","???","294","98","33.33"
"26","???","384","204","53.12"
"27","???","867","309","35.64"
"28","???","931","177","19.01"
"29","???","255","73","28.63"
"30","????","276","29","10.51"
"31","???","201","41","20.40"
"32","???","295","16","5.42"
"33","???","522","40","7.66"
"34","???","648","103","15.90"
"35","???","406","138","33.99"
"36","???","308","122","39.61"
"37","???","307","178","57.98"
"38","???","494","60","12.15"
"39","???","299","66","22.07"
"40","???","792","93","11.74"
"41","???","274","29","10.58"
"42","???","401","40","9.98"
"43","???","559","32","5.72"
"44","???","420","35","8.33"
"45","???","371","59","15.90"
"46","????","721","117","16.23"
"47","???","223","92","41.26"
