"???","????","??","???","?(%)"
"0","??","24526","19513","79.56"
"1","???","1515","508","33.53"
"2","???","362","58","16.02"
"3","???","433","58","13.39"
"4","???","456","277","60.75"
"5","???","401","55","13.72"
"6","???","398","172","43.22"
"7","???","548","90","16.42"
"8","???","522","202","38.70"
"9","???","359","226","62.95"
"10","???","340","332","97.65"
"11","???","645","631","97.83"
"12","???","723","712","98.48"
"13","???","1512","1471","97.29"
"14","????","767","753","98.17"
"15","???","682","85","12.46"
"16","???","292","277","94.86"
"17","???","328","316","96.34"
"18","???","243","236","97.12"
"19","???","268","254","94.78"
"20","???","660","71","10.76"
"21","???","457","444","97.16"
"22","???","603","573","95.02"
"23","???","933","903","96.78"
"24","???","467","447","95.72"
"25","???","261","257","98.47"
"26","???","476","472","99.16"
"27","???","1122","1110","98.93"
"28","???","965","947","98.13"
"29","???","323","314","97.21"
"30","????","317","313","98.74"
"31","???","247","240","97.17"
"32","???","379","369","97.36"
"33","???","534","515","96.44"
"34","???","704","688","97.73"
"35","???","420","411","97.86"
"36","???","239","226","94.56"
"37","???","227","223","98.24"
"38","???","400","392","98.00"
"39","???","323","318","98.45"
"40","???","814","797","97.91"
"41","???","207","199","96.14"
"42","???","448","437","97.54"
"43","???","569","548","96.31"
"44","???","402","390","97.01"
"45","???","310","298","96.13"
"46","????","721","705","97.78"
"47","???","204","193","94.61"
